watch_company_id,company_id,relationship_type,priority,business_area,note
2871,1332,peer,high,冷凍食品|水産,家庭用・業務用冷凍食品で直接競合
2871,1333,peer,high,冷凍食品|水産,旧マルハニチロ。冷凍食品と水産原料の両面で重なる
2871,1301,peer,high,冷凍食品|水産,業務用冷凍食品と水産原料で競合
2871,2877,peer,high,業務用冷凍食品,業務用冷凍食品専業。中食・給食で直接競合
2871,2883,peer,high,業務用冷凍食品|水産,業務用冷凍食品専業
2871,2882,peer,high,冷凍食品|外食,冷凍餃子で家庭用冷食と競合
2871,2876,peer,mid,冷凍生地|冷凍食品,冷凍ピザ・生地で競合
2871,2897,peer,high,冷凍麺|即席麺,冷凍麺で競合
2871,2875,peer,high,冷凍食品|即席麺,冷凍麺・チルドで競合
2871,2282,peer,high,加工食品|畜産,加工食品・畜産で競合
2871,2296,peer,high,加工食品|畜産,畜産加工で競合
2871,2281,peer,mid,加工食品|畜産,畜産加工で競合
2871,2288,peer,mid,加工食品|畜産,畜産加工で競合
2871,2292,peer,mid,食肉|加工食品,食肉加工で競合
2871,2918,peer,high,中食|惣菜,ＣＶＳ向け中食で競合
2871,2903,peer,mid,中食|惣菜,中食で競合
2871,2910,peer,mid,惣菜,惣菜で競合
2871,2915,peer,mid,業務用調味料|惣菜,業務用サラダ・調味料で競合
2871,2908,peer,mid,惣菜|加工食品,豆製品・惣菜で競合
2871,2904,peer,low,練り製品,練り製品で競合
2871,2933,peer,mid,練り製品|チルド,練り製品・チルドで競合
2871,2932,peer,low,水産加工|中食,ＣＶＳ向け水産加工で競合
2871,2809,peer,mid,調味料|惣菜,サラダ・惣菜で競合
2871,2810,peer,low,加工食品|調味料,家庭用加工食品で競合
2871,2811,peer,low,加工食品|飲料,家庭用加工食品で競合
2871,2212,peer,mid,製パン|中食,冷凍生地・中食で競合
2871,2209,peer,low,冷菓|加工食品,冷菓・肉まんで競合
2871,2264,peer,mid,乳製品|冷菓,チルド・冷菓で競合
2871,2269,peer,mid,乳製品|冷菓|加工食品,チルド・冷菓で競合
2871,2270,peer,mid,乳製品|チルド,チルドで競合
2871,2874,peer,high,冷蔵倉庫|水産,冷蔵倉庫でニチレイロジと直接競合
2871,9369,peer,high,食品物流,食品物流でニチレイロジと直接競合
2871,9147,peer|partner,high,低温物流,低温物流で競合、幹線輸送で協業
2871,9064,peer|partner,high,低温物流|宅配,クール便で競合、宅配網で協業
2871,9143,peer|partner,mid,低温物流|宅配,クール便で競合、宅配網で協業
2871,9069,peer|partner,mid,食品物流|３ＰＬ,食品３ＰＬで競合、庫内業務で協業
2871,9090,peer,mid,低温物流|３ＰＬ,低温３ＰＬで競合
2871,9301,peer,low,冷蔵倉庫|物流,冷蔵倉庫で競合
2871,9305,peer,low,食品物流|冷蔵倉庫,食品物流・倉庫で競合
2871,2607,partner,high,油脂原料,油脂・大豆素材の供給
2871,2602,partner,high,油脂原料,食用油の供給。値上げ開示が頻出
2871,2613,partner,high,油脂原料,食用油の供給
2871,4404,partner,mid,油脂原料,業務用油脂の供給
2871,2002,partner,high,小麦粉|加工原料,小麦粉・プレミックスの供給
2871,2001,partner,high,小麦粉|加工原料,小麦粉・冷凍生地の供給
2871,2004,partner,mid,小麦粉|油脂|糖類,製粉・油脂・糖化品の供給
2871,2108,partner,mid,糖類,砂糖の供給
2871,2892,partner,mid,澱粉|加工原料,澱粉・糖化品の供給
2871,2815,partner,mid,調味料|エキス,調味エキスの供給
2871,2801,partner,mid,調味料,醤油・調味料の供給
2871,2802,peer|partner,high,冷凍食品|調味料・原料,冷凍食品で競合、調味料・アミノ酸で供給側
2871,4526,partner,mid,食品素材,乳化剤・食品素材の供給
2871,1379,partner,low,農産原料,きのこ類の供給
2871,3139,partner,mid,乳原料|食肉,乳原料・食肉の輸入商社
2871,8043,partner,mid,食肉,食肉の調達・卸
2871,8091,partner,mid,水産原料,水産物の調達・商社
2871,8079,partner,low,食品原料,製菓・製パン原料の商社
2871,5901,partner,high,包装資材,容器・包装材の供給
2871,3941,partner,high,包装資材,段ボール・紙器の供給
2871,3946,partner,mid,包装資材,段ボール・紙器の供給
2871,7947,partner,high,包装資材,食品トレー・容器の供給
2871,7912,partner,mid,包装資材,軟包装材の供給
2871,7911,partner,mid,包装資材,軟包装材の供給
2871,4088,partner,mid,産業ガス|冷凍設備,冷凍・冷蔵に用いる産業ガスと設備の供給
2871,9501,partner,high,電力,冷凍倉庫の電力コストに直結
2871,9531,partner,mid,都市ガス,加熱工程の燃料コストに直結
2871,9025,partner,mid,食品物流|構内作業,食品工場の構内物流を受託
2871,3382,customer,high,量販・ＣＶＳ,家庭用冷凍食品の販売チャネル
2871,8267,customer,high,量販,家庭用冷凍食品の販売チャネル
2871,7532,customer,high,量販,ＰＢ・家庭用冷凍食品の販売チャネル
2871,3038,customer,high,業務用卸|量販,業務用食材の販売チャネル
2871,9946,customer,mid,ＣＶＳ,中食・冷凍食品の販売チャネル
2871,3222,customer,mid,量販,首都圏食品スーパーの販売チャネル
2871,8194,customer,mid,量販,食品スーパーの販売チャネル
2871,9948,customer,mid,量販,北海道・東北の食品スーパー
2871,9956,customer,mid,量販,中部の食品スーパー
2871,8273,customer,mid,量販,中四国・九州の量販
2871,8276,customer,low,量販,近畿の食品スーパー
2871,8217,customer,low,量販,近畿・中部の食品スーパー
2871,8255,customer,low,量販,新潟・北関東の食品スーパー
2871,9974,customer,low,量販,北関東の食品スーパー
2871,2742,customer,low,量販,中国・四国の食品スーパー
2871,3182,customer,low,食品ＥＣ,食品ＥＣの販売チャネル
2871,8142,customer,mid,業務用卸,外食・給食向け業務用食品卸
2871,9869,customer,mid,食品卸,量販向け食品卸
2871,7130,customer,low,食品卸,九州地盤の食品卸
2871,3197,customer,high,外食,業務用冷凍食品の需要家
2871,7550,customer,high,外食,業務用冷凍食品の需要家
2871,2702,customer,high,外食,業務用冷凍食品の需要家
2871,3563,customer,mid,外食,水産・業務用食材の需要家
2871,7581,customer,mid,外食,業務用冷凍食品の需要家
2871,7616,customer,mid,外食,業務用冷凍食品の需要家
2871,3397,customer,mid,外食,業務用冷凍食品の需要家
2871,3387,customer,mid,外食,業務用冷凍食品の需要家
2871,2695,customer,mid,外食,水産・業務用食材の需要家
2871,9861,customer,mid,外食,業務用冷凍食品の需要家
2871,7630,customer,low,外食,業務用冷凍食品の需要家
2871,8153,customer,low,外食,業務用冷凍食品の需要家
2871,9887,customer,low,外食,業務用冷凍食品の需要家
