company_id,company_name,jpx_sector_17,jpx_sector_33
2871,ニチレイ,食品,食料品
1332,ニッスイ,食品,水産・農林業
1333,Ｕｍｉｏｓ,食品,水産・農林業
1301,極洋,食品,水産・農林業
2877,日東ベスト,食品,食料品
2883,大冷,食品,食料品
2882,イートアンドホールディングス,食品,食料品
2876,デルソーレ,食品,食料品
2897,日清食品ホールディングス,食品,食料品
2875,東洋水産,食品,食料品
2282,日本ハム,食品,食料品
2296,伊藤ハム米久ホールディングス,食品,食料品
2281,プリマハム,食品,食料品
2288,丸大食品,食品,食料品
2292,Ｓ　Ｆｏｏｄｓ,食品,食料品
2918,わらべや日洋ホールディングス,食品,食料品
2903,シノブフーズ,食品,食料品
2910,ロック・フィールド,食品,食料品
2915,ケンコーマヨネーズ,食品,食料品
2908,フジッコ,食品,食料品
2904,一正蒲鉾,食品,食料品
2933,紀文食品,食品,食料品
2932,ＳＴＩフードホールディングス,食品,食料品
2809,キユーピー,食品,食料品
2810,ハウス食品グループ本社,食品,食料品
2811,カゴメ,食品,食料品
2212,山崎製パン,食品,食料品
2209,井村屋グループ,食品,食料品
2264,森永乳業,食品,食料品
2269,明治ホールディングス,食品,食料品
2270,雪印メグミルク,食品,食料品
2874,横浜冷凍,商社・卸売,卸売業
9369,キユーソー流通システム,運輸・物流,倉庫・運輸関連業
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,運輸・物流,陸運業
9064,ヤマトホールディングス,運輸・物流,陸運業
9143,ＳＧホールディングス,運輸・物流,陸運業
9069,センコーグループホールディングス,運輸・物流,陸運業
9090,ＡＺ－ＣＯＭ丸和ホールディングス,運輸・物流,陸運業
9301,三菱倉庫,運輸・物流,倉庫・運輸関連業
9305,ヤマタネ,商社・卸売,卸売業
2607,不二製油,食品,食料品
2602,日清オイリオグループ,食品,食料品
2613,Ｊ－オイルミルズ,食品,食料品
4404,ミヨシ油脂,食品,食料品
2002,日清製粉グループ本社,食品,食料品
2001,ニップン,食品,食料品
2004,昭和産業,食品,食料品
2108,日本甜菜製糖,食品,食料品
2892,日本食品化工,食品,食料品
2815,アリアケジャパン,食品,食料品
2801,キッコーマン,食品,食料品
2802,味の素,食品,食料品
4526,理研ビタミン,食品,食料品
1379,ホクト,食品,水産・農林業
3139,ラクト・ジャパン,商社・卸売,卸売業
8043,スターゼン,商社・卸売,卸売業
8091,ニチモウ,商社・卸売,卸売業
8079,正栄食品工業,商社・卸売,卸売業
5901,東洋製罐グループホールディングス,建設・資材,金属製品
3941,レンゴー,素材・化学,パルプ・紙
3946,トーモク,素材・化学,パルプ・紙
7947,エフピコ,素材・化学,化学
7912,大日本印刷,情報通信・サービスその他,その他製品
7911,ＴＯＰＰＡＮホールディングス,情報通信・サービスその他,その他製品
4088,エア・ウォーター,素材・化学,化学
9501,東京電力ホールディングス,電力・ガス,電気・ガス業
9531,東京瓦斯,電力・ガス,電気・ガス業
9025,鴻池運輸,運輸・物流,陸運業
3382,セブン＆アイ・ホールディングス,小売,小売業
8267,イオン,小売,小売業
7532,パン・パシフィック・インターナショナルホールディングス,小売,小売業
3038,神戸物産,商社・卸売,卸売業
9946,ミニストップ,小売,小売業
3222,ユナイテッド・スーパーマーケット・ホールディングス,小売,小売業
8194,ライフコーポレーション,小売,小売業
9948,アークス,小売,小売業
9956,バローホールディングス,小売,小売業
8273,イズミ,小売,小売業
8276,平和堂,小売,小売業
8217,オークワ,小売,小売業
8255,アクシアル　リテイリング,小売,小売業
9974,ベルク,小売,小売業
2742,ハローズ,小売,小売業
3182,オイシックス・ラ・大地,小売,小売業
8142,トーホー,商社・卸売,卸売業
9869,加藤産業,商社・卸売,卸売業
7130,ヤマエグループホールディングス,商社・卸売,卸売業
3197,すかいらーくホールディングス,小売,小売業
7550,ゼンショーホールディングス,小売,小売業
2702,日本マクドナルドホールディングス,小売,小売業
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売,小売業
7581,サイゼリヤ,小売,小売業
7616,コロワイド,小売,小売業
3397,トリドールホールディングス,小売,小売業
3387,クリエイト・レストランツ・ホールディングス,小売,小売業
2695,くら寿司,小売,小売業
9861,吉野家ホールディングス,小売,小売業
7630,壱番屋,小売,小売業
8153,モスフードサービス,商社・卸売,卸売業
9887,松屋フーズホールディングス,小売,小売業
