disclosure_date,code,company_name,title
2026-08-03,130A0,Ｇ－ＶＩＳ,lncRNA標的核酸医薬品に関する特許共同出願のお知らせ
2026-08-03,13264,Ｅ－ワールド,SPDRゴールド・シェアに関する日々の開示事項
2026-08-03,13294,Ｅ－ブラックロック,上場ETF（管理会社：ブラックロック・ジャパン）に関する日々の開示事項
2026-08-03,13494,Ｅ－ＳＳＧＡ－ＳＩＮ,アジア国債・公債ＥＴＦ（正式名称：ＡＢＦ汎アジア債券インデックス・ファンド）に関する日々の開示事項
2026-08-03,14470,Ｇ－ＳＡＡＦＨＤ,買収への対応方針に基づく共同協調行為の追加認定並びに新株予約権の無償割当て及び臨時株主総会における意思確認に関するお知らせ
2026-08-03,150A0,Ｇ－ＪＳＨ,資本金及び資本準備金の額の減少並びに剰余金の処分の効力発生に関するお知らせ
2026-08-03,15140,住石ＨＤ,自己株式立会外買付取引(ToSTNeT-3)による自己株式の取得結果に関するお知らせ
2026-08-03,15150,日鉄鉱,自己株式の取得状況に関するお知らせ
2026-08-03,15574,Ｅ－ＳＳＧＡＴＣ,State Street SPDR S&P500 ETFに関する日々の開示事項
2026-08-03,157A0,Ｇ－Ｇモンスター,第三者委員会調査報告書の受領及び当社の対応について
2026-08-03,16714,Ｅ－シンプレクス,上場ＥＴＦ(管理会社：シンプレクス・アセット・マネジメント)に関する日々の開示事項
2026-08-03,16724,Ｅ－ＷｉｓｄｏｍＴｒ,上場ETF（管理会社：WisdomTree、外国投資法人：MSL）に関する日々の開示事項
2026-08-03,16724,Ｅ－ＷｉｓｄｏｍＴｒ,上場ETF（管理会社：WisdomTree、外国投資法人：CSL）に関する日々の開示事項
2026-08-03,17870,ナカボーテック,2027年3月期 第1四半期決算短信〔日本基準〕（非連結）
2026-08-03,17870,ナカボーテック,資本業務提携契約の締結、資本技術提携の解消、自己株式の取得並びに主要株主、主要株主である筆頭株主及びその他の関係会社の異動に関するお知らせ
2026-08-03,17870,ナカボーテック,自己株式の取得及び自己株式立会外買付取引（ＴｏＳＴＮｅＴ－３）による自己株式の買付けに関するお知らせ
2026-08-03,184A0,Ｇ－学びエイド,（訂正）「支配株主等に関する事項について」の一部訂正について
2026-08-03,18820,東亜道,2027年３月期 第１四半期決算短信〔日本基準〕(連結)
